"region","market key","event_id","sport_key","bookmaker","earliest_odds","latest_odds","home_team","away_team","commence_time","outcomes_name","outcome_point","outcomes_price"
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetMGM",2.2,1.57,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3.5,2.2
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetMGM",2.2,1.57,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3.5,2.2
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetOnline.ag",1.85,2.02,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetOnline.ag",1.85,2.02,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetRivers",2.32,1.6,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3.5,2.32
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetRivers",2.32,1.6,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3.5,2.32
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetUS",1.85,1.98,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetUS",1.85,1.98,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","Bovada",1.85,1.98,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","Bovada",1.85,1.98,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","LowVig.ag",1.85,2.02,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","LowVig.ag",1.85,2.02,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3,1.85
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","MyBookie.ag",1.83,1.98,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Over",3,1.83
"us","totals","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","MyBookie.ag",1.83,1.98,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Under",3,1.83
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetOnline.ag",1.83,2.04,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Chelsea",-0.75,1.83
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetOnline.ag",1.83,2.04,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Crystal Palace",-0.75,1.83
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetUS",2.05,1.8,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Chelsea",-1,2.05
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","BetUS",2.05,1.8,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Crystal Palace",-1,2.05
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","Bovada",2.05,1.8,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Chelsea",-1,2.05
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","Bovada",2.05,1.8,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Crystal Palace",-1,2.05
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","LowVig.ag",1.83,2.04,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Chelsea",-0.75,1.83
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","LowVig.ag",1.83,2.04,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Crystal Palace",-0.75,1.83
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","MyBookie.ag",1.73,2.12,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Chelsea",-0.5,1.73
"us","spreads","fc3ce4f31b7fe23e3d8eccd0c12ebfbf","soccer_epl","MyBookie.ag",1.73,2.12,"Chelsea","Crystal Palace","2024-09-01T12:30:00Z","Crystal Palace",-0.5,1.73
"us","totals","36c348ee3ab335d09cabd3a112caaa4a","soccer_epl","BetMGM",1.91,1.77,"Newcastle United","Tottenham Hotspur","2024-09-01T12:30:00Z","Over",3.5,1.91
"us","totals","36c348ee3ab335d09cabd3a112caaa4a","soccer_epl","BetMGM",1.91,1.77,"Newcastle United","Tottenham Hotspur","2024-09-01T12:30:00Z","Under",3.5,1.91
"us","totals","36c348ee3ab335d09cabd3a112caaa4a","soccer_epl","BetOnline.ag",1.95,1.9,"Newcastle United","Tottenham Hotspur","2024-09-01T12:30:00Z","Over",3.5,1.95
