key,group,title,description,has_outrights
americanfootball_ncaaf,American Football,NCAAF,US College Football,FALSE
americanfootball_nfl,American Football,NFL,US Football,FALSE
americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2022/2023,TRUE
aussierules_afl,Aussie Rules,AFL,Aussie Football,FALSE
baseball_mlb,Baseball,MLB,Major League Baseball,FALSE
baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2022,TRUE
basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,FALSE
basketball_nba,Basketball,NBA,US Basketball,FALSE
basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2021/2022,TRUE
basketball_ncaab,Basketball,NCAAB,US College Basketball,FALSE
basketball_wnba,Basketball,WNBA,US Basketball,FALSE
cricket_big_bash,Cricket,Big Bash,Big Bash League,FALSE
cricket_icc_world_cup,Cricket,ICC World Cup,ICC World Cup,FALSE
cricket_ipl,Cricket,IPL,Indian Premier League,FALSE
cricket_odi,Cricket,One Day Internationals,One Day Internationals,FALSE
cricket_test_match,Cricket,Test Matches,International Test Matches,FALSE
golf_masters_tournament_winner,Golf,Masters Tournament Winner,2023 Winner,TRUE
golf_pga_championship_winner,Golf,PGA Championship Winner,2022 Winner,TRUE
golf_the_open_championship_winner,Golf,The Open Winner,2022 Winner,TRUE
golf_us_open_winner,Golf,US Open Winner,2022 Winner,TRUE
icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,FALSE
icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2021/2022,TRUE
icehockey_sweden_allsvenskan,Ice Hockey,HockeyAllsvenskan,Swedish Hockey Allsvenskan,FALSE
icehockey_sweden_hockey_league,Ice Hockey,SHL,Swedish Hockey League,FALSE
mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,FALSE
politics_us_presidential_election_winner,Politics,US Presidential Elections Winner,2024 US Presidential Election Winner,TRUE
rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,FALSE
soccer_africa_cup_of_nations,Soccer,Africa Cup of Nations,Africa Cup of Nations,FALSE
soccer_argentina_primera_division,Soccer,Primera División - Argentina,Argentine Primera División,FALSE
soccer_australia_aleague,Soccer,A-League,Aussie Soccer,FALSE
